preference,GDPquant,GEIquant,GDIquant,meanGenderGDP,meanGenderGEI,meanGenderGDI
altruism,3,4,4,0.146106331504311,0.187922183405288,0.159420916212567
altruism,4,4,4,0.183066436070568,0.187922183405288,0.159420916212567
altruism,2,3,3,0.0693728478512717,0.121391169742974,0.154656873367611
altruism,4,3,2,0.183066436070568,0.121391169742974,0.0877413144821354
altruism,2,1,2,0.0693728478512717,0.0396157685662536,0.0877413144821354
altruism,1,2,2,0.0225590043109481,0.0721754980225837,0.0877413144821354
altruism,2,3,4,0.0693728478512717,0.121391169742974,0.159420916212567
altruism,1,2,3,0.0225590043109481,0.0721754980225837,0.154656873367611
altruism,2,2,2,0.0693728478512717,0.0721754980225837,0.0877413144821354
altruism,1,3,4,0.0225590043109481,0.121391169742974,0.159420916212567
altruism,4,3,4,0.183066436070568,0.121391169742974,0.159420916212567
altruism,1,4,2,0.0225590043109481,0.187922183405288,0.0877413144821354
altruism,3,1,1,0.146106331504311,0.0396157685662536,0.0192855156747855
altruism,3,1,3,0.146106331504311,0.0396157685662536,0.154656873367611
altruism,4,1,2,0.183066436070568,0.0396157685662536,0.0877413144821354
altruism,1,1,2,0.0225590043109481,0.0396157685662536,0.0877413144821354
negrecip,1,1,1,0.0937127477721801,0.109054123201701,0.0984425624709981
negrecip,2,1,1,0.119984134841931,0.109054123201701,0.0984425624709981
negrecip,3,3,4,0.131368847669628,0.14812383312223,0.165290694886776
negrecip,4,3,3,0.215077219124307,0.14812383312223,0.16273346871621
negrecip,4,4,2,0.215077219124307,0.231827273338116,0.133676223334061
negrecip,1,3,2,0.0937127477721801,0.14812383312223,0.133676223334061
negrecip,2,3,2,0.119984134841931,0.14812383312223,0.133676223334061
negrecip,2,2,3,0.119984134841931,0.0711377197459985,0.16273346871621
negrecip,3,2,4,0.131368847669628,0.0711377197459985,0.165290694886776
negrecip,1,2,1,0.0937127477721801,0.0711377197459985,0.0984425624709981
negrecip,4,4,3,0.215077219124307,0.231827273338116,0.16273346871621
negrecip,3,2,2,0.131368847669628,0.0711377197459985,0.133676223334061
negrecip,3,2,3,0.131368847669628,0.0711377197459985,0.16273346871621
negrecip,3,3,3,0.131368847669628,0.14812383312223,0.16273346871621
negrecip,3,4,3,0.131368847669628,0.231827273338116,0.16273346871621
negrecip,3,4,4,0.131368847669628,0.231827273338116,0.165290694886776
negrecip,4,4,4,0.215077219124307,0.231827273338116,0.165290694886776
negrecip,2,3,3,0.119984134841931,0.14812383312223,0.16273346871621
negrecip,4,3,2,0.215077219124307,0.14812383312223,0.133676223334061
negrecip,2,1,2,0.119984134841931,0.109054123201701,0.133676223334061
negrecip,1,2,2,0.0937127477721801,0.0711377197459985,0.133676223334061
negrecip,2,3,4,0.119984134841931,0.14812383312223,0.165290694886776
negrecip,1,2,3,0.0937127477721801,0.0711377197459985,0.16273346871621
negrecip,2,2,2,0.119984134841931,0.0711377197459985,0.133676223334061
negrecip,1,3,4,0.0937127477721801,0.14812383312223,0.165290694886776
negrecip,4,3,4,0.215077219124307,0.14812383312223,0.165290694886776
negrecip,1,4,2,0.0937127477721801,0.231827273338116,0.133676223334061
negrecip,3,1,1,0.131368847669628,0.109054123201701,0.0984425624709981
negrecip,3,1,3,0.131368847669628,0.109054123201701,0.16273346871621
negrecip,4,1,2,0.215077219124307,0.109054123201701,0.133676223334061
negrecip,1,1,2,0.0937127477721801,0.109054123201701,0.133676223334061
posrecip,1,1,1,-0.0085072230343071,0.0298060716118225,0.00825210855685306
posrecip,2,1,1,0.0555235149168414,0.0298060716118225,0.00825210855685306
