country,gender,preference,isocode,logAvgGDPpc,GenderIndex,GDI,genderOrig,residualsgenderGEI_trust,residualsgenderGDP_trust,residualsgenderGDI_trust,residualslogAvgGDPpc_trust,residualsGenderIndex_trust,residualslogAvgGDPpc2_trust,residualsgenderGEI_altruism,residualsgenderGDP_altruism,residualsgenderGDI_altruism,residualslogAvgGDPpc_altruism,residualsGenderIndex_altruism,residualslogAvgGDPpc2_altruism,residualsgenderGEI_negrecip,residualsgenderGDP_negrecip,residualsgenderGDI_negrecip,residualslogAvgGDPpc_negrecip,residualsGenderIndex_negrecip,residualslogAvgGDPpc2_negrecip,residualsgenderGEI_posrecip,residualsgenderGDP_posrecip,residualsgenderGDI_posrecip,residualslogAvgGDPpc_posrecip,residualsGenderIndex_posrecip,residualslogAvgGDPpc2_posrecip,residualsgenderGEI_risktaking,residualsgenderGDP_risktaking,residualsgenderGDI_risktaking,residualslogAvgGDPpc_risktaking,residualsGenderIndex_risktaking,residualslogAvgGDPpc2_risktaking,residualsgenderGEI_patience,residualsgenderGDP_patience,residualsgenderGDI_patience,residualslogAvgGDPpc_patience,residualsGenderIndex_patience,residualslogAvgGDPpc2_patience,meanGender,stdGender
Egypt,0.128822141408895,negrecip,EGY,7.7788079739548,-2.80440184679923,0.865734265734266,-0.128822141408895,0.114443551919658,0.0529821186623645,0.0516674357752758,0.475697354704819,-2.2489037277291,-0.166993734347579,0.0535424076340326,-0.0112560325501655,-0.00634354697985234,0.475697354704819,-2.2489037277291,-0.166993734347579,0.0644930442031254,0.0158510758022969,0.00423634836264462,0.475697354704819,-2.2489037277291,-0.166993734347579,-0.0898102045263026,-0.107945292234573,-0.0946233940077518,0.475697354704819,-2.2489037277291,-0.166993734347579,0.286023092009277,0.241958987565066,0.235875630493704,0.475697354704819,-2.2489037277291,-0.166993734347579,0.0999583507017772,0.0417794382740214,0.0473725055634045,0.475697354704819,-2.2489037277291,-0.166993734347579,-0.140035737352011,0.0245438231557946
Egypt,-0.0755877200441872,posrecip,EGY,7.7788079739548,-2.80440184679923,0.865734265734266,-0.0755877200441872,0.114443551919658,0.0529821186623645,0.0516674357752758,0.475697354704819,-2.2489037277291,-0.166993734347579,0.0535424076340326,-0.0112560325501655,-0.00634354697985234,0.475697354704819,-2.2489037277291,-0.166993734347579,0.0644930442031254,0.0158510758022969,0.00423634836264462,0.475697354704819,-2.2489037277291,-0.166993734347579,-0.0898102045263026,-0.107945292234573,-0.0946233940077518,0.475697354704819,-2.2489037277291,-0.166993734347579,0.286023092009277,0.241958987565066,0.235875630493704,0.475697354704819,-2.2489037277291,-0.166993734347579,0.0999583507017772,0.0417794382740214,0.0473725055634045,0.475697354704819,-2.2489037277291,-0.166993734347579,0.0544620005290997,0.0229528190378475
Egypt,0.396461550045678,risktaking,EGY,7.7788079739548,-2.80440184679923,0.865734265734266,-0.396461550045678,0.114443551919658,0.0529821186623645,0.0516674357752758,0.475697354704819,-2.2489037277291,-0.166993734347579,0.0535424076340326,-0.0112560325501655,-0.00634354697985234,0.475697354704819,-2.2489037277291,-0.166993734347579,0.0644930442031254,0.0158510758022969,0.00423634836264462,0.475697354704819,-2.2489037277291,-0.166993734347579,-0.0898102045263026,-0.107945292234573,-0.0946233940077518,0.475697354704819,-2.2489037277291,-0.166993734347579,0.286023092009277,0.241958987565066,0.235875630493704,0.475697354704819,-2.2489037277291,-0.166993734347579,0.0999583507017772,0.0417794382740214,0.0473725055634045,0.475697354704819,-2.2489037277291,-0.166993734347579,-0.182219383024572,0.0253670250292599
Egypt,0.0673600719334941,patience,EGY,7.7788079739548,-2.80440184679923,0.865734265734266,-0.0673600719334941,0.114443551919658,0.0529821186623645,0.0516674357752758,0.475697354704819,-2.2489037277291,-0.166993734347579,0.0535424076340326,-0.0112560325501655,-0.00634354697985234,0.475697354704819,-2.2489037277291,-0.166993734347579,0.0644930442031254,0.0158510758022969,0.00423634836264462,0.475697354704819,-2.2489037277291,-0.166993734347579,-0.0898102045263026,-0.107945292234573,-0.0946233940077518,0.475697354704819,-2.2489037277291,-0.166993734347579,0.286023092009277,0.241958987565066,0.235875630493704,0.475697354704819,-2.2489037277291,-0.166993734347579,0.0999583507017772,0.0417794382740214,0.0473725055634045,0.475697354704819,-2.2489037277291,-0.166993734347579,-0.0555686251652444,0.0242829699449249
Estonia,0.396219262927505,trust,EST,9.63521000605059,1.93333686601007,1.02344665885111,0.396219262927505,0.25377525606643,0.284873236800747,0.279124220947872,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.214882667405943,0.248074137252673,0.235466963846261,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.0641392035252673,-0.0370709097328543,-0.02863634441048,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.127234646051303,0.134456585598956,0.116708479049445,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.0684901759423303,-0.0447336169545328,-0.0423730329926387,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.167941151845999,-0.134996467811105,-0.145593620923406,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.0675390679804523,0.027358290079596
Estonia,0.397961730415294,altruism,EST,9.63521000605059,1.93333686601007,1.02344665885111,0.397961730415294,0.25377525606643,0.284873236800747,0.279124220947872,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.214882667405943,0.248074137252673,0.235466963846261,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.0641392035252673,-0.0370709097328543,-0.02863634441048,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.127234646051303,0.134456585598956,0.116708479049445,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.0684901759423303,-0.0447336169545328,-0.0423730329926387,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.167941151845999,-0.134996467811105,-0.145593620923406,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.105276154934275,0.0272856865563256
Estonia,0.128088211907238,negrecip,EST,9.63521000605059,1.93333686601007,1.02344665885111,-0.128088211907238,0.25377525606643,0.284873236800747,0.279124220947872,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.214882667405943,0.248074137252673,0.235466963846261,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.0641392035252673,-0.0370709097328543,-0.02863634441048,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.127234646051303,0.134456585598956,0.116708479049445,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.0684901759423303,-0.0447336169545328,-0.0423730329926387,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.167941151845999,-0.134996467811105,-0.145593620923406,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.140035737352011,0.0245438231557946
Estonia,0.209437514007384,posrecip,EST,9.63521000605059,1.93333686601007,1.02344665885111,0.209437514007384,0.25377525606643,0.284873236800747,0.279124220947872,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.214882667405943,0.248074137252673,0.235466963846261,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.0641392035252673,-0.0370709097328543,-0.02863634441048,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.127234646051303,0.134456585598956,0.116708479049445,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.0684901759423303,-0.0447336169545328,-0.0423730329926387,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.167941151845999,-0.134996467811105,-0.145593620923406,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.0544620005290997,0.0229528190378475
Estonia,0.163214522003969,risktaking,EST,9.63521000605059,1.93333686601007,1.02344665885111,-0.163214522003969,0.25377525606643,0.284873236800747,0.279124220947872,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.214882667405943,0.248074137252673,0.235466963846261,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.0641392035252673,-0.0370709097328543,-0.02863634441048,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.127234646051303,0.134456585598956,0.116708479049445,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.0684901759423303,-0.0447336169545328,-0.0423730329926387,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.167941151845999,-0.134996467811105,-0.145593620923406,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.182219383024572,0.0253670250292599
Estonia,-0.0515908216867983,patience,EST,9.63521000605059,1.93333686601007,1.02344665885111,0.0515908216867983,0.25377525606643,0.284873236800747,0.279124220947872,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.214882667405943,0.248074137252673,0.235466963846261,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.0641392035252673,-0.0370709097328543,-0.02863634441048,-0.0979675797758763,1.41768336583156,0.0341323877173131,0.127234646051303,0.134456585598956,0.116708479049445,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.0684901759423303,-0.0447336169545328,-0.0423730329926387,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.167941151845999,-0.134996467811105,-0.145593620923406,-0.0979675797758763,1.41768336583156,0.0341323877173131,-0.0555686251652444,0.0242829699449249
