preference,GDPquant,GEIquant,GDIquant,meanGenderGDP,meanGenderGEI,meanGenderGDI
negrecip,4,4,3,0.226027804833993,0.24413459341492,0.169220028610516
negrecip,3,2,2,0.136118800207185,0.0713586670300821,0.140016092406601
negrecip,3,2,3,0.136118800207185,0.0713586670300821,0.169220028610516
negrecip,3,3,3,0.136118800207185,0.151491687383085,0.169220028610516
negrecip,3,4,3,0.136118800207185,0.24413459341492,0.169220028610516
negrecip,3,4,4,0.136118800207185,0.24413459341492,0.172836579543114
negrecip,4,4,4,0.226027804833993,0.24413459341492,0.172836579543114
negrecip,2,3,3,0.127533167929282,0.151491687383085,0.169220028610516
negrecip,4,3,2,0.226027804833993,0.151491687383085,0.140016092406601
negrecip,2,1,2,0.127533167929282,0.11229050362612,0.140016092406601
negrecip,1,2,2,0.0895956784837472,0.0713586670300821,0.140016092406601
negrecip,2,3,4,0.127533167929282,0.151491687383085,0.172836579543114
negrecip,1,2,3,0.0895956784837472,0.0713586670300821,0.169220028610516
negrecip,2,2,2,0.127533167929282,0.0713586670300821,0.140016092406601
negrecip,1,3,4,0.0895956784837472,0.151491687383085,0.172836579543114
negrecip,4,3,4,0.226027804833993,0.151491687383085,0.172836579543114
negrecip,1,4,2,0.0895956784837472,0.24413459341492,0.140016092406601
negrecip,3,1,1,0.136118800207185,0.11229050362612,0.0972027508939755
negrecip,3,1,3,0.136118800207185,0.11229050362612,0.169220028610516
negrecip,4,1,2,0.226027804833993,0.11229050362612,0.140016092406601
negrecip,1,1,2,0.0895956784837472,0.11229050362612,0.140016092406601
posrecip,1,1,1,-0.0111574316171235,0.0299423654083305,0.00747888716351789
posrecip,2,1,1,0.0489098333688415,0.0299423654083305,0.00747888716351789
posrecip,3,3,4,0.104554915699812,0.0366944011116211,0.0842399747229233
posrecip,4,3,3,0.0541328546465054,0.0366944011116211,0.0729322744616171
posrecip,4,4,2,0.0541328546465054,0.0922098439136498,0.0317890357499773
posrecip,1,3,2,-0.0111574316171235,0.0366944011116211,0.0317890357499773
posrecip,2,3,2,0.0489098333688415,0.0366944011116211,0.0317890357499773
posrecip,2,2,3,0.0489098333688415,0.0375935616644342,0.0729322744616171
posrecip,3,2,4,0.104554915699812,0.0375935616644342,0.0842399747229233
posrecip,1,2,1,-0.0111574316171235,0.0375935616644342,0.00747888716351789
posrecip,4,4,3,0.0541328546465054,0.0922098439136498,0.0729322744616171
posrecip,3,2,2,0.104554915699812,0.0375935616644342,0.0317890357499773
posrecip,3,2,3,0.104554915699812,0.0375935616644342,0.0729322744616171
posrecip,3,3,3,0.104554915699812,0.0366944011116211,0.0729322744616171
posrecip,3,4,3,0.104554915699812,0.0922098439136498,0.0729322744616171
posrecip,3,4,4,0.104554915699812,0.0922098439136498,0.0842399747229233
