country,avgGenderDiff,isocode,logAvgGDPpc,Date,ScoreWEF,avgRatioLabor,ValueUN,GDI,region,telephone,personal,avgGenderDiffRescaled,GenderIndex,logAvgGDPpcStd,DateStd,ScoreWEFStd,avgRatioLaborStd,ValueUNStd,GDIStd,GenderIndexStd,GenderIndexRescaled,residualslogAvgGDPpc,residualsavgGenderDiff_GEI,residualsGenderIndexStd,residualsavgGenderDiff_GDP,residualsScoreWEFStd,residualsValueUNStd,residualsavgRatioLaborStd,residualsDateStd,residualsGDIStd
Chile,-0.0216281560897081,CHL,9.40267181395829,1948,0.698,59.3502097530794,5.22,0.962918660287081,Latin America and Caribbean,F,T,0.447032808536696,-0.253623065527479,0.462299616148269,-0.0646367129889208,-0.105858962489879,-0.386445175782343,-0.0344948065942348,0.295013857975855,-0.167207518611777,0.469600096445531,0.791223265760518,-0.00287136083936884,-0.418706689518522,-0.0807575101249392,-0.227026063194897,-0.419496618185995,-0.43214830594343,-0.272767951027114,0.0492710000695381
China,0.0654533764899474,CHN,8.20964305246326,1948,0.682,82.7699821161845,2.44,0.95225102319236,East Asia and Pacific,T,T,0.556267653881949,0.605096375442347,-0.371926644271519,-0.0646367129889208,-0.396214973890686,0.70714090097725,0.888761570157749,0.147732297495484,0.398925323484558,0.587295071247925,-0.842257338597004,0.0207032320293489,0.601259998671516,0.113023786362866,-0.269354940228723,1.21447930684173,0.743909721975072,0.0802375813828989,0.345435936655496
Colombia,0.00565330717564548,COL,8.69234737053681,1954,0.725,66.2880351798527,6.33,0.986559139784946,Latin America and Caribbean,F,T,0.481254604275731,-0.135315310103183,-0.0343952861420073,-0.380007048890891,0.384116806748987,-0.0624834748709989,-0.403133144074344,0.621403542967356,-0.08921009288126,0.485815204231916,0.0202167573764677,0.0156606050551302,-0.0704984486452397,0.0100525560185897,0.410624047064777,-0.364975444469502,-0.0590831427388351,-0.377960237223374,0.639686915091835
Costa Rica,-0.0859155582804811,CRI,8.94050293024014,1948,0.732,57.4870787107296,5.08,0.979746835443038,Latin America and Caribbean,F,T,0.366390860376981,0.062779100608942,0.139127675965177,-0.0646367129889208,0.511147561736842,-0.473444064392471,0.0120001188537067,0.527350210909413,0.0413887341502972,0.512965767692931,0.166766316218354,-0.0905584117751874,-0.0342991832374645,-0.103710359143144,0.486063998597634,-0.097675170138846,-0.487198283651019,-0.136016702334819,0.453394638567815
Croatia,-0.011519956479567,HRV,9.53902869373319,1945,0.708,75.3233619179456,2.21,0.984412470023981,Ex Soviet,F,T,0.459712507531689,0.789694389876094,0.557647267075461,0.0930484549620641,0.0756135446356272,0.35942103242123,0.96514609053651,0.591765782568902,0.520626304702229,0.612595836108698,0.392444833582876,-0.0699221209295612,0.217256324652515,-0.0828445293970335,-0.073901746182939,0.498912792223118,0.304291794280244,-0.155429449054565,0.295339334594478
Czech Republic,0.233240917475132,CZE,9.8534106179569,1920,0.687,73.3995667203869,2.09,0.980703745743473,Ex Soviet,F,T,0.766739903823252,1.1031774277699,0.777479064474932,1.40709152122027,-0.305478720327933,0.269589431585457,1.0049988837776,0.54056168792503,0.727298047211493,0.655561415418537,0.546035962630778,0.151654989576812,0.304335679771229,0.133799271294803,-0.520353078990152,0.351479757677185,0.192727531553462,1.06559108319398,0.127280083111579
Egypt,0.0488685881519038,EGY,7.7788079739548,1956,0.599,28.8779972871157,9.25,0.865734265734266,Middle East and North Africa,F,T,0.53546373902741,-2.80440184679923,-0.673188397551782,-0.485130494191547,-1.90243678303239,-1.80934488480495,-1.37288444627427,-1.04675181674526,-1.84887393036726,0.119993659156534,0.475697354704819,0.256269248382419,-1.48264753100548,0.134971179849672,-1.68600741679766,-0.790506583479705,-1.7427932029918,-0.212776317373977,-0.688907607178163
Estonia,0.325430969450806,EST,9.63521000605059,1918,0.749,80.701659782635,2.11,1.02344665885111,Ex Soviet,F,T,0.882382862457701,1.93333686601007,0.624902122185792,1.51221496652093,0.819650823850202,0.61056060672196,0.998356751570754,1.13068702553004,1.27460197412994,0.769341993223202,-0.0979675797758763,0.182450268266297,0.934644162922965,0.24550432117031,0.650139724008688,0.474825640288358,0.54878252594796,1.2352779536728,0.798510168674494
Finland,0.289082147657673,FIN,10.7444796249982,1906,0.85,87.4429881470172,0.56,1.00548245614035,Europe,T,F,0.836786996038802,3.61625081341641,1.40055973906699,2.14295563832487,2.65252314581781,0.925346878930433,1.51312199760154,0.882666232871461,2.3841062086826,1,0.148106781036042,0.0216408723933167,1.62217692975423,0.109946821202584,2.25239818845022,0.328768928006495,0.786886967182578,1.5377966034593,0.138175991208656
France,0.0370824515758385,FRA,10.6117864311674,1944,0.761,80.9545148096096,1.42,0.990990990990991,Europe,T,F,0.520679240317229,1.60270434808044,1.3077739232968,0.145610177612392,1.03741783240081,0.622367670114844,1.22751031270704,0.682591410125498,1.05662399653394,0.724025928382942,1.04819590123422,-0.0814461895051762,0.345171843095165,-0.130185321546991,0.664879395725815,0.122206172880043,0.493080602269778,-0.420286240083136,-0.0125770264912425
Georgia,-0.0199403771210354,GEO,7.97290299399182,1918,0.687,73.8297389924231,6.01,0.971576227390181,Ex Soviet,F,T,0.449149954034237,0.509024833129458,-0.537467308540752,1.51221496652093,-0.305478720327933,0.289676322269666,-0.296859028764763,0.414543607777615,0.335587692240589,0.574127630041548,-1.02972066494908,-0.0575855122450444,0.627979417792284,0.0488031252721754,-0.129401131995318,0.169891173226039,0.342810561411429,1.72713832683376,0.700243071541955
Germany,0.162517500962936,DEU,10.618662465785,1918,0.779,77.9109491694493,1.06,0.963196635120925,Europe,T,F,0.678024636232721,2.33840591618968,1.31258199568421,1.51221496652093,1.36406834522672,0.480248397724874,1.34706869243032,0.298851687003905,1.54165414703108,0.824860232801283,0.677718057494764,-0.0104202438392998,0.827586317141678,-0.00536523744321075,0.990100401387234,0.237668312533468,0.350486001866395,0.944283997489016,-0.398872558461103
Ghana,-0.310624626560251,GHA,7.09963552635201,1954,0.704,92.5412066301345,9.07,0.887622149837134,Sub-Saharan Africa,F,T,0.0845163963651806,-0.171580922391488,-1.14810024329288,-0.380007048890891,0.00302454178542476,1.16340814882555,-1.31310525641263,-0.744559147679018,-0.113119129029265,0.480844686364468,-1.55389383591913,-0.297935290819166,0.511467717292896,-0.163779543020689,0.360651841680055,-0.32612597013127,1.27690981100379,0.09330760700498,-0.134267845037651
Greece,-0.0535724428629697,GRC,10.2165706203312,1952,0.685,67.5005895221563,1.59,0.964732650739477,Europe,F,T,0.406961979257828,0.324035871535302,1.03141896977538,-0.274883603590234,-0.341773221753035,-0.0058632598877606,1.17105218894882,0.320058518021281,0.213628969068478,0.548773282469126,1.30883095394478,-0.0775366453439715,-0.347481199954034,-0.185493680286065,-0.632147465759787,0.301188812676395,-0.107829763383926,-0.723839531480416,-0.228208961504594
Guatemala,-0.138063854062749,GTM,7.94414266128193,1946,0.667,48.8933539302086,8.14,0.9234375,Latin America and Caribbean,F,T,0.300976175356551,-1.2495903882136,-0.557577992858982,0.0404867323117358,-0.668423734578945,-0.874727971928948,-1.00424610879416,-0.250078447379599,-0.823824551050878,0.333094104668795,-0.156457265377139,-0.0456498971153865,-0.520492257400636,-0.0667481415023506,-0.48636695853879,-0.520362597589411,-0.819605582265491,0.263919993549183,0.0463111767616605
