country,avgGenderDiff,isocode,logAvgGDPpc,Date,ScoreWEF,avgRatioLabor,ValueUN,region,telephone,personal,avgGenderDiffNorm,GenderIndex,logAvgGDPpcNorm,GenderIndexNorm,ScoreWEFNorm,ValueUNNorm,DateNorm,avgRatioLaborNorm,residualslogAvgGDPpcNorm,residualsavgGenderDiffNorm_GEI,residualsGenderIndexNorm,residualsavgGenderDiffNorm_GDP,residualsScoreWEFNorm,residualsValueUNNorm,residualsavgRatioLaborNorm,residualsDateNorm
Canada,0.341565797015663,CAN,10.7426526485155,1960,0.74,85.3499754231012,0.083,North America,T,F,1,1.12998276366529,1.39928222438485,0.75222671672034,0.656325567437246,1.23534898896257,-0.69537738479286,0.827613667101225,0.986809506417961,0.380860567339057,-0.0150495970101579,0.263495475854606,0.256580433051442,0.0420522766523626,0.68928005098019,-1.2999958352008
Chile,-7.34831452942984e-05,CHL,9.40267181395829,1948,0.698,59.3502097530794,0.288,Latin America and Caribbean,F,T,0.507145118126935,-0.18494529830412,0.462299616148269,-0.123117625321036,-0.105858962489879,0.108740607368199,-0.0646367129889208,-0.386445175782343,0.529809397995963,0.0182068519641372,-0.376612981108325,-0.0758475247149116,-0.227026063194897,-0.279525348511346,-0.43214830594343,-0.272767951027113
China,0.112009747093593,CHN,8.20964305246326,1948,0.682,82.7699821161845,0.163,East Asia and Pacific,T,T,0.66883837299304,0.547129723265571,-0.371926644271519,0.364222896654802,-0.396214973890686,0.795696937608672,-0.0646367129889208,0.70714090097725,-0.571643039328561,0.107411714096598,0.568163531089903,0.222522378729423,-0.269354940228723,1.12417619295988,0.743909721975072,0.0802375813828992
Colombia,0.0647560673778555,COL,8.69234737053681,1954,0.725,66.2880351798527,0.411,Latin America and Caribbean,F,T,0.600669376958992,-0.214538847453786,-0.0343952861420073,-0.142817977422645,0.384116806748987,-0.567224421588427,-0.380007048890891,-0.0624834748709989,0.0439169008790677,0.114661396285984,-0.123957816190806,0.0990534514800884,0.410624047064777,-0.528743211201427,-0.0590831427388351,-0.377960237223374
Costa Rica,-0.0568519007575596,CRI,8.94050293024014,1948,0.732,57.4870787107296,0.285,Latin America and Caribbean,F,T,0.425235566356282,0.117969868318808,0.139127675965177,0.0785322480756657,0.511147561736842,0.12522755929397,-0.0646367129889208,-0.473444064392471,0.0960656454738257,-0.0936966661572032,0.00224358486522541,-0.104809740979101,0.486063998597634,0.0146224150194489,-0.487198283651019,-0.136016702334819
Croatia,-0.00360704358570762,HRV,9.53902869373319,1945,0.708,75.3233619179456,0.122,Ex Soviet,F,T,0.502047541195411,0.806571769627841,0.557647267075461,0.536932821964871,0.0756135446356272,1.02101861392755,0.0930484549620641,0.35942103242123,0.263227864628444,-0.0850684752043165,0.231154951005605,-0.0965665199556343,-0.0739017461829392,0.550832469908904,0.304291794280244,-0.155429449054565
Czech Republic,0.207732835431875,CZE,9.8534106179569,1920,0.687,73.3995667203869,0.137,Ex Soviet,F,T,0.806930197133585,1.07593579735916,0.777479064474932,0.716247785607019,-0.305478720327933,0.93858385429869,1.40709152122027,0.269589431585457,0.384734876718397,0.193142371349298,0.289928305378353,0.172299680081992,-0.520353078990152,0.279524025120541,0.192727531553462,1.06559108319398
Egypt,0.0590724430921702,EGY,7.7788079739548,1956,0.599,28.8779972871157,0.45,Middle East and North Africa,F,T,0.592470079809635,-2.51209270231177,-0.673188397551782,-1.67229386705658,-1.90243678303239,-0.781554796623455,-0.485130494191547,-1.80934488480495,0.243789929928489,0.333960622171249,-1.30316067639754,0.195511734347948,-1.68600741679766,-0.194239384661749,-1.7427932029918,-0.212776317373976
Estonia,0.300732578350165,EST,9.63521000605059,1918,0.749,80.701659782635,0.091,Ex Soviet,F,T,0.941093274893919,2.0365920118069,0.624902122185792,1.35575423944623,0.819650823850202,1.19138378382718,1.51221496652093,0.61056060672196,-0.118506246075374,0.232183469936525,1.01309813448223,0.331460418683043,0.650139724008688,0.663414041258083,0.54878252594796,1.2352779536728
Finland,0.215151023352794,FIN,10.7444796249982,1906,0.85,87.4429881470172,0.05,Europe,T,F,0.817631806532113,3.58561508484172,1.40055973906699,2.38693504841137,2.65252314581781,1.41670546014606,2.14295563832487,0.925346878930433,0.0917181822006941,-0.0446587170172966,1.61895822785032,0.0809179789476539,2.25239818845021,0.222311140898568,0.786886967182578,1.5377966034593
