country,gender,preference,isocode,logAvgGDPpc,GenderIndex,GenderIndexNorm,ScoreWEFNorm,ValueUNNorm,DateNorm,avgRatioLaborNorm,residualslogAvgGDPpcNorm,residualsavgGenderDiffNorm_GEI,residualsgenderGEI_trust,residualsgenderGDP_trust,residualsgenderGEI_altruism,residualsgenderGDP_altruism,residualsgenderGEI_negrecip,residualsgenderGDP_negrecip,residualsgenderGEI_posrecip,residualsgenderGDP_posrecip,residualsgenderGEI_risktaking,residualsgenderGDP_risktaking,residualsgenderGEI_patience,residualsgenderGDP_patience,residualslogAvgGDPpc,residualsGenderIndex
Malawi,0.0952489888868882,negrecip,MWI,6.06391954788452,-0.574447737553698,-0.378719421945069,-0.051417210352227,-1.66845932947904,-0.747939107443189,1.07972232519541,-1.66629535521612,-0.066329044157699,0.103546979204768,0.0378581377342822,0.0597754023958696,-0.0110270006738298,0.0530367866267484,0.0196092238495359,-0.0696156226864181,-0.092484803502654,0.323067768467204,0.293730095630882,0.10773421860399,0.040108062121825,-2.29660689662478,0.85019075245283
Malawi,0.0156157642771926,posrecip,MWI,6.06391954788452,-0.574447737553698,-0.378719421945069,-0.051417210352227,-1.66845932947904,-0.747939107443189,1.07972232519541,-1.66629535521612,-0.066329044157699,0.243325270456793,0.272098682501512,0.223428980082682,0.25262451913783,-0.0577640893323755,-0.0449849413683651,0.129308043927441,0.138005409415305,-0.0511063118994144,-0.0396096222806996,-0.17424468345314,-0.142977654689931,-2.29660689662478,0.85019075245283
Malawi,0.1475840673211,risktaking,MWI,6.06391954788452,-0.574447737553698,-0.378719421945069,-0.051417210352227,-1.66845932947904,-0.747939107443189,1.07972232519541,-1.66629535521612,-0.066329044157699,0.0576176600039058,0.101304192625149,0.0548185595163016,0.0960585976759916,-0.0433638657787637,-0.0271256012565324,-0.1003382563033,-0.0893749613302683,-0.0212981796534311,-0.00614250532435482,-0.107614152352491,-0.0573475319666206,-2.29660689662478,0.85019075245283
Malawi,0.0582507164443983,patience,MWI,6.06391954788452,-0.574447737553698,-0.378719421945069,-0.051417210352227,-1.66845932947904,-0.747939107443189,1.07972232519541,-1.66629535521612,-0.066329044157699,-0.117470033599114,-0.141125688666099,-0.133026606199995,-0.168535146388428,-0.0283275646423198,-0.0506259832908669,-0.122616048144336,-0.138121250352798,0.104159755674515,0.0861376472919496,0.119599989253657,0.10430679375412,-2.29660689662478,0.85019075245283
Mexico,-0.0185750387846555,trust,MEX,9.14391571211559,-0.554866869765748,-0.365810232048325,-0.0877117117773283,-0.110879326972996,-0.327445326240562,-0.707020630728646,0.480371455679129,-0.150940985896586,0.0333910243129387,0.079523633620536,-0.166133100474415,-0.10937444853011,-0.0391039823675509,-0.00841820416527988,0.0219975004099052,0.0431665342667825,0.0949072971790307,0.120750836041177,-0.00654335454783311,0.0345834238814996,0.772053290105312,-0.9342010905789
Mexico,0.025466043692086,altruism,MEX,9.14391571211559,-0.554866869765748,-0.365810232048325,-0.0877117117773283,-0.110879326972996,-0.327445326240562,-0.707020630728646,0.480371455679129,-0.150940985896586,0.125229981814491,0.127903691653476,0.0356393383941688,0.030344223910361,-0.0967822999548333,-0.103802195823854,-0.047550411355433,-0.05255714696212,-0.155270255589185,-0.160166844502122,0.111555933639839,0.121708480231202,0.772053290105312,-0.9342010905789
Mexico,0.135921119114582,negrecip,MEX,9.14391571211559,-0.554866869765748,-0.365810232048325,-0.0877117117773283,-0.110879326972996,-0.327445326240562,-0.707020630728646,0.480371455679129,-0.150940985896586,-0.087843726932596,-0.0301450172061087,-0.0418719964378644,0.0321770909420299,-0.157235033919626,-0.115719490116701,-0.15449256897427,-0.125794015588673,-0.194217377419682,-0.159615042157356,-0.0807017820203995,-0.0320333868994851,0.772053290105312,-0.9342010905789
Mexico,-0.0217964519491266,posrecip,MEX,9.14391571211559,-0.554866869765748,-0.365810232048325,-0.0877117117773283,-0.110879326972996,-0.327445326240562,-0.707020630728646,0.480371455679129,-0.150940985896586,-0.0796134434821207,-0.133148117129571,-0.0701123819776993,-0.13813120045089,0.0360785656307757,-0.00173752922301122,-0.0660807961526084,-0.0922099058526613,0.00147356854724221,-0.030120403194767,0.0238074629414866,-0.0219696425671733,0.772053290105312,-0.9342010905789
Mexico,0.106096336032913,risktaking,MEX,9.14391571211559,-0.554866869765748,-0.365810232048325,-0.0877117117773283,-0.110879326972996,-0.327445326240562,-0.707020630728646,0.480371455679129,-0.150940985896586,-0.157820480948387,-0.174114687627054,0.201880587474878,0.187060452774863,-0.0219751294400183,-0.0274561226566731,0.0682216024481495,0.0645402930481939,-0.128413885905305,-0.133648352081469,0.0616610609597872,0.0424043956361967,0.772053290105312,-0.9342010905789
Mexico,0.00077492787432023,patience,MEX,9.14391571211559,-0.554866869765748,-0.365810232048325,-0.0877117117773283,-0.110879326972996,-0.327445326240562,-0.707020630728646,0.480371455679129,-0.150940985896586,-0.0550447027501372,-0.0657871331026369,0.02428388120167,0.00876991408445741,0.131066216583186,0.121566396931151,-0.00978520403101248,-0.0163826669619391,0.0897493767997028,0.0820203883757529,0.0280721423425391,0.0205742507223105,0.772053290105312,-0.9342010905789
