country,avgGenderDiff,isocode,logAvgGDPpc,Date,ScoreWEF,avgRatioLabor,ValueUN,region,telephone,personal,avgGenderDiffNorm,GenderIndex,logAvgGDPpcNorm,GenderIndexNorm,ScoreWEFNorm,ValueUNNorm,DateNorm,avgRatioLaborNorm,residualsGEIx,residualsGEIy,residualsGDPx,residualsGDPy,residualsWEFx,residualsUNx,residualsRatiox,residualsDatex
Canada,0.341565797015663,CAN,10.7426526485155,1960,0.74,85.3499754231012,0.083,North America,T,F,1,1.0870167681047,0.911707125488858,0.656723033567582,0.621993127147766,0.0795847750865052,0.613636363636364,0.83182287300424,0.262886691914553,0.370533946759859,-0.0138145560576694,0.23731283413569,0.0258328471758392,0.0108025262307804,0.157503436075401,-0.284699772255043
Chile,-7.34831452942984e-05,CHL,9.40267181395829,1948,0.698,59.3502097530794,0.288,Latin America and Caribbean,F,T,0.507145118126935,-0.37798551621186,0.650595827065021,0.449533874829407,0.47766323024055,0.434256055363322,0.477272727272727,0.503083170060085,0.159212665684907,0.0180169535810491,-0.105786558089891,-0.0923229492185959,-0.0584151913221352,-0.0905367040520399,-0.143426360426642,-0.0656958478919269
China,0.112009747093593,CHN,8.20964305246326,1948,0.682,82.7699821161845,0.163,East Asia and Pacific,T,T,0.66883837299304,0.431673392369173,0.418119898352294,0.564040555078054,0.422680412371134,0.217993079584775,0.477272727272727,0.799201570024897,-0.160273700717472,0.10215004147051,0.111301724986905,0.214689607190008,-0.0599051656539918,0.351276081139415,0.177452108775196,0.00788150329025551
Colombia,0.0647560673778555,COL,8.69234737053681,1954,0.725,66.2880351798527,0.411,Latin America and Caribbean,F,T,0.600669376958992,-0.392488307953674,0.512180610264361,0.447482805522206,0.570446735395189,0.647058823529412,0.545454545454545,0.590804678739127,0.0223559993353103,0.112930487498208,-0.0467609607768542,0.0877238271906729,0.0662177340134833,-0.169048038510971,-0.0409628078275287,-0.0900700122151606
Costa Rica,-0.0568519007575596,CRI,8.94050293024014,1948,0.732,57.4870787107296,0.285,Latin America and Caribbean,F,T,0.425235566356282,-0.0625990766411251,0.560536690242653,0.494137662681228,0.594501718213058,0.429065743944637,0.477272727272727,0.479525836767873,0.0352603525415073,-0.0941046105024743,-0.0214435565667308,-0.117937077488784,0.0791459553008509,0.002029626288918,-0.157391859951392,-0.0371926270473645
Croatia,-0.00360704358570762,HRV,9.53902869373319,1945,0.708,75.3233619179456,0.122,Ex Soviet,F,T,0.502047541195411,0.688429885238089,0.677166596593088,0.60035255426575,0.512027491408935,0.147058823529412,0.443181818181818,0.705046886364436,0.0711805205093448,-0.0892364271418257,0.0333075865025251,-0.114029753998553,-0.0301648793480077,0.170881377070678,0.0557074108729129,-0.0400144410302282
Czech Republic,0.207732835431875,CZE,9.8534106179569,1920,0.687,73.3995667203869,0.137,Ex Soviet,F,T,0.806930197133585,0.896013133047699,0.738427676093647,0.629710186634136,0.439862542955327,0.173010380622837,0.159090909090909,0.680722518606768,0.110133552685866,0.195761075689241,0.035633346104783,0.152558970460111,-0.116426037068575,0.0854938823200063,0.0248583737511173,0.224687673766274
Egypt,0.0590724430921702,EGY,7.7788079739548,1956,0.599,28.8779972871157,0.45,Middle East and North Africa,F,T,0.592470079809635,-2.85025788814548,0.334166528382604,0.0998907115414264,0.137457044673539,0.714532871972318,0.568181818181818,0.117794079333305,0.108467470382485,0.340169863362245,-0.315803116505845,0.19080005945646,-0.325810815129719,-0.0638115510133633,-0.495013848637482,-0.056456808358413
Estonia,0.300732578350165,EST,9.63521000605059,1918,0.749,80.701659782635,0.091,Ex Soviet,F,T,0.941093274893919,1.91142589128851,0.695908676103204,0.773315775106013,0.652920962199313,0.0934256055363322,0.136363636363636,0.773049808576223,-0.0415073350449697,0.232654078057711,0.198000735825594,0.313300418785993,0.106416028277855,0.206330895422614,0.121714190133961,0.260871975836477
Finland,0.215151023352794,FIN,10.7444796249982,1906,0.85,87.4429881470172,0.05,Europe,T,F,0.817631806532113,3.51427475322093,0.912063133716199,1,1,0.0224913494809689,0,0.858286818481711,0.00239609247497288,-0.0443501032320294,0.329305319295328,0.0547221020711094,0.403757802332298,0.0675505501068951,0.183929464559028,0.32882391673792
France,0.0256699901117675,FRA,10.6117864311674,1944,0.761,80.9545148096096,0.051,Europe,T,F,0.54428310900765,1.61689239593689,0.886206277230181,0.731661132123265,0.694158075601375,0.0242214532871972,0.431818181818182,0.776246894561941,0.180442469340933,-0.135941654765971,0.0723759672214565,-0.202463630343636,0.103865555330548,0.0909069534703837,0.10464344965853,-0.0948107123973082
Georgia,0.00432601389540074,GEO,7.97290299399182,1918,0.687,73.8297389924231,0.351,Ex Soviet,F,T,0.513491910548671,0.332031919012534,0.371988265374994,0.549948677364822,0.439862542955327,0.543252595155709,0.136363636363636,0.686161594739943,-0.195697308232548,-0.0436514024118037,0.117565747680631,0.0881797504122852,-0.0321081200605288,0.070773805956985,0.0693254268056402,0.363391001987684
Germany,0.16171230264076,DEU,10.618662465785,1918,0.779,77.9109491694493,0.084,Europe,T,F,0.740540160713256,2.17206166372998,0.887546154846858,0.810176404613096,0.756013745704467,0.0813148788927336,0.136363636363636,0.737764206789452,0.122120777782538,0.0071337167852147,0.15030000949544,-0.00704412805867738,0.165412918831296,0.0325135690142622,0.0660180569499131,0.200219769170325
Ghana,-0.290748552666024,GHA,7.09963552635201,1954,0.704,92.5412066301345,0.541,Sub-Saharan Africa,F,T,0.0878121099769671,-0.295763300153473,0.201821650699443,0.46116221968395,0.498281786941581,0.8719723183391,0.545454545454545,0.922748431365277,-0.298397566124799,-0.409192419219627,0.103866479361323,-0.231129925185921,0.0654665588327241,-0.0928490501183363,0.324036020090545,0.00815688932638647
Greece,-0.0481411660541751,GRC,10.2165706203312,1952,0.685,67.5005895221563,0.122,Europe,F,T,0.437801826656449,0.0958052600158297,0.809193747749359,0.51654012689837,0.43298969072165,0.147058823529412,0.522727272727273,0.606136153620538,0.26689440132394,-0.0967124768261588,-0.108762729573756,-0.260804844791276,-0.139582202674986,0.0427876903586056,-0.0572649988020036,-0.161345761837183
Guatemala,-0.0927684994990021,GTM,7.94414266128193,1946,0.667,48.8933539302086,0.492,Latin America and Caribbean,F,T,0.37342164431062,-1.52421541650376,0.366383970430387,0.287427363935596,0.371134020618557,0.78719723183391,0.454545454545455,0.370867221633135,-0.00181896745023934,-0.00590499576854211,-0.142482632050372,-0.0483873048417376,-0.0995470909402072,-0.167733503666974,-0.245372055553719,0.04698291229273
Hungary,0.124781797719898,HUN,9.48626689053039,1918,0.672,73.7360705323827,0.258,Europe,F,T,0.687263559639431,0.440735310981319,0.666885327946422,0.565322144406552,0.388316151202749,0.382352941176471,0.136363636363636,0.684977255537825,0.0875178848339435,0.119707154026395,0.00281385716213049,0.0776130234952215,-0.151510493785813,-0.0544377801724419,0.0367327963129122,0.270057705695215
India,-0.0168573168632936,IND,7.08342932975559,1950,0.664,34.5182245636056,0.501,South Asia,F,T,0.482932462074726,-2.04348423652338,0.198663679386217,0.213989341940278,0.360824742268041,0.802768166089965,0.5,0.189108823586891,-0.11373575058553,0.153348467892055,-0.141912921815593,0.165964455741706,-0.0712638348439146,-0.0205810115056816,-0.409267244958523,0.0546109153104778
Indonesia,-0.0941229546255309,IDN,7.949606100172,1945,0.681,58.8473652189325,0.451,East Asia and Pacific,F,T,0.371467683334373,-0.976539566016558,0.367448586867917,0.364882873690377,0.419243986254296,0.716262975778547,0.443181818181818,0.496725229573985,-0.0596106359962936,-0.0603228152445457,-0.0654968916225221,-0.0510067511349775,-0.0516820941527945,-0.0978321460966811,-0.11962743559609,0.0580096034167786
Iran,-0.254799467758651,IRN,8.71899979801416,1963,0.58,23.2680603526398,0.492,Middle East and North Africa,T,F,0.13967289714149,-3.46385062133568,0.517374154653416,0.0131128521766247,0.072164948453608,0.78719723183391,0.647727272727273,0.0468623246097821,0.357615175509016,-0.0538490432472919,-0.483422601312324,-0.376519105914818,-0.43325909044853,-0.314225260741777,-0.585458305326902,-0.193986467685941
Israel,0.0292683466248864,ISR,10.284498722553,1948,0.712,80.9202165638598,0.1,Middle East and North Africa,F,T,0.549474161902314,0.878546272389948,0.822430351223959,0.62723992143099,0.525773195876289,0.108996539792388,0.477272727272727,0.775813229302707,0.196013313555356,-0.0600217455320125,-0.00390367738355305,-0.157406630579683,-0.0498444475150077,0.0680077266960743,0.111002299875256,-0.120080528487778
Italy,-0.0371034425307918,ITA,10.5134215660861,1945,0.726,63.24486743155,0.069,Europe,T,F,0.453725042279377,0.711551788658265,0.867038706337903,0.603622588564902,0.573883161512027,0.055363321799308,0.443181818181818,0.552327021890867,0.258567822249844,-0.139773857149311,-0.0472047538202291,-0.281040164060059,-0.01199888978503,0.0783615993828,-0.117234962698669,-0.100107918130214
Japan,0.112705906639561,JPN,10.700332166688,1947,0.67,66.5140586435607,0.099,East Asia and Pacific,T,F,0.669842665095024,0.083421807124062,0.903460473242102,0.51478878683946,0.381443298969072,0.107266435986159,0.465909090909091,0.593662507815772,0.362491921358437,0.136514617533093,-0.15210991075029,-0.0876895681653025,-0.212819421626333,-0.00887817365389967,-0.0797786115954904,-0.134362479506357
