country,gender,preference,isocode,logAvgGDPpc,genderOrig
Nigeria,0.00623179068386494,altruism,NGA,7.62677036971656,0.00623179068386494
Pakistan,-0.16710959554107,altruism,PAK,6.86941729765193,-0.16710959554107
Peru,0.129870363085613,altruism,PER,8.40736001602751,0.129870363085613
Philippines,0.0780858432307003,altruism,PHL,7.62901056403653,0.0780858432307003
Poland,0.0960582125235907,altruism,POL,9.33943401027034,0.0960582125235907
Portugal,0.284461291068212,altruism,PRT,10.0054394492667,0.284461291068212
Romania,-0.00876610355849124,altruism,ROU,8.94988350962712,-0.00876610355849124
Russia,0.155046732786782,altruism,RUS,9.20980936584525,0.155046732786782
Rwanda,-0.0336110641306669,altruism,RWA,6.29606341020118,-0.0336110641306669
Saudi Arabia,0.0435932438652422,altruism,SAU,9.87514939493861,0.0435932438652422
Serbia,0.00064550513346719,altruism,SRB,8.57970094547058,0.00064550513346719
South Africa,0.0337169111355045,altruism,ZAF,8.86385418159955,0.0337169111355045
South Korea,-0.0414445649111261,altruism,KOR,9.95737590307406,-0.0414445649111261
Spain,0.0758342965501089,altruism,ESP,10.3356817805906,0.0758342965501089
Sri Lanka,-0.0873989919283407,altruism,LKA,7.82489428939383,-0.0873989919283407
Suriname,0.167584672265921,altruism,SUR,8.93962955677749,0.167584672265921
Sweden,0.320963763609498,altruism,SWE,10.8520837820769,0.320963763609498
Switzerland,0.214174583441038,altruism,CHE,11.1957573605179,0.214174583441038
Tanzania,-0.0208357788513888,altruism,TZA,6.5377094705006,-0.0208357788513888
Thailand,0.0494649671308588,altruism,THA,8.45371423132472,0.0494649671308588
Turkey,-0.0106762243556254,altruism,TUR,9.23887703165831,-0.0106762243556254
Uganda,-0.117359688087162,altruism,UGA,6.61112540747215,-0.117359688087162
Ukraine,0.0882764939395147,altruism,UKR,7.98643642485663,0.0882764939395147
United Arab Emirates,-0.0566005084879282,altruism,ARE,10.7359992643429,-0.0566005084879282
United Kingdom,0.158766616120358,altruism,GBR,10.5936711459176,0.158766616120358
United States,0.183329083401938,altruism,USA,10.7891852208812,0.183329083401938
Venezuela,0.110663038699234,altruism,VEN,9.49812822025194,0.110663038699234
Vietnam,-0.0568761657904112,altruism,VNM,7.06398624830281,-0.0568761657904112
Zimbabwe,-0.0936603932351898,altruism,ZWE,6.8769835499244,-0.0936603932351898
Afghanistan,0.299250641207943,negrecip,AFG,6.07601480077745,-0.299250641207943
Algeria,0.199956249825177,negrecip,DZA,8.37734266346542,-0.199956249825177
Argentina,0.250033288240256,negrecip,ARG,9.15503477940437,-0.250033288240256
Australia,0.332520849978343,negrecip,AUS,10.831083350524,-0.332520849978343
Austria,0.204998915991475,negrecip,AUT,10.7415607995392,-0.204998915991475
Bangladesh,0.198714844121227,negrecip,BGD,6.55805694315242,-0.198714844121227
Bolivia,0.113631096313281,negrecip,BOL,7.51692562881957,-0.113631096313281
Bosnia Herzegovina,0.143467730651292,negrecip,BIH,8.367686754699,-0.143467730651292
Botswana,0.200515595871518,negrecip,BWA,8.73160425672903,-0.200515595871518
Brazil,0.0195408115047303,negrecip,BRA,9.24850504607934,-0.0195408115047303
Cambodia,0.146486051284561,negrecip,KHM,6.56080194725664,-0.146486051284561
Cameroon,0.158296569775196,negrecip,CMR,7.14745441142489,-0.158296569775196
Canada,0.407372646691351,negrecip,CAN,10.7426526485155,-0.407372646691351
Chile,0.158272222379509,negrecip,CHL,9.40267181395829,-0.158272222379509
China,0.218738330124458,negrecip,CHN,8.20964305246326,-0.218738330124458
Colombia,0.112321387535807,negrecip,COL,8.69234737053681,-0.112321387535807
Costa Rica,0.0786544886508795,negrecip,CRI,8.94050293024014,-0.0786544886508795
Croatia,-0.002487990551239,negrecip,HRV,9.53902869373319,0.002487990551239
Czech Republic,0.278643874187574,negrecip,CZE,9.8534106179569,-0.278643874187574
Egypt,0.165761462489935,negrecip,EGY,7.7788079739548,-0.165761462489935
Estonia,0.216301390118712,negrecip,EST,9.63521000605059,-0.216301390118712
Finland,0.204389361790364,negrecip,FIN,10.7444796249982,-0.204389361790364
France,0.194639465865234,negrecip,FRA,10.6117864311674,-0.194639465865234
Georgia,0.137793759139532,negrecip,GEO,7.97290299399182,-0.137793759139532
Germany,0.108446391164167,negrecip,DEU,10.618662465785,-0.108446391164167
Ghana,-0.0147097876366665,negrecip,GHA,7.09963552635201,0.0147097876366665
Greece,0.263546824220901,negrecip,GRC,10.2165706203312,-0.263546824220901
Guatemala,0.09911087992937,negrecip,GTM,7.94414266128193,-0.09911087992937
Haiti,0.0849145225002701,negrecip,HTI,6.53407979863068,-0.0849145225002701
Hungary,0.321686184506624,negrecip,HUN,9.48626689053039,-0.321686184506624
India,0.161959210290214,negrecip,IND,7.08342932975559,-0.161959210290214
Indonesia,0.192776209049759,negrecip,IDN,7.949606100172,-0.192776209049759
Iran,0.0167859668763648,negrecip,IRN,8.71899979801416,-0.0167859668763648
Iraq,-0.0726016005911238,negrecip,IRQ,8.34982696860798,0.0726016005911238
Israel,0.125015526349863,negrecip,ISR,10.284498722553,-0.125015526349863
Italy,0.171016580394916,negrecip,ITA,10.5134215660861,-0.171016580394916
Japan,0.352308386043295,negrecip,JPN,10.700332166688,-0.352308386043295
Jordan,0.127776932820694,negrecip,JOR,8.17318158968626,-0.127776932820694
Kazakhstan,0.222510003803487,negrecip,KAZ,9.01546392675182,-0.222510003803487
Kenya,0.0246126755999137,negrecip,KEN,6.80663994139168,-0.0246126755999137
Lithuania,0.295437427401291,negrecip,LTU,9.36720863436723,-0.295437427401291
Malawi,0.0739378561716847,negrecip,MWI,6.06391954788452,-0.0739378561716847
Mexico,0.156305762258224,negrecip,MEX,9.14391571211559,-0.156305762258224
Moldova,0.155278098193323,negrecip,MDA,7.71549766835688,-0.155278098193323
Morocco,0.259527227070002,negrecip,MAR,7.87263480044974,-0.259527227070002
Netherlands,0.393014696775324,negrecip,NLD,10.8220941128038,-0.393014696775324
Nicaragua,-0.0132071203791552,negrecip,NIC,7.29807137022244,0.0132071203791552
Nigeria,-0.00285638824433646,negrecip,NGA,7.62677036971656,0.00285638824433646
Pakistan,0.181711892691773,negrecip,PAK,6.86941729765193,-0.181711892691773
Peru,0.0377544239536675,negrecip,PER,8.40736001602751,-0.0377544239536675
Philippines,0.0819393035734277,negrecip,PHL,7.62901056403653,-0.0819393035734277
Poland,0.205309347421109,negrecip,POL,9.33943401027034,-0.205309347421109
Portugal,0.0785035421236805,negrecip,PRT,10.0054394492667,-0.0785035421236805
Romania,0.108410071216271,negrecip,ROU,8.94988350962712,-0.108410071216271
Russia,0.290399347820419,negrecip,RUS,9.20980936584525,-0.290399347820419
Rwanda,0.155378904591154,negrecip,RWA,6.29606341020118,-0.155378904591154
Saudi Arabia,0.014997568923828,negrecip,SAU,9.87514939493861,-0.014997568923828
Serbia,0.252037008566874,negrecip,SRB,8.57970094547058,-0.252037008566874
South Africa,0.108432792303261,negrecip,ZAF,8.86385418159955,-0.108432792303261
South Korea,-0.0243654631745372,negrecip,KOR,9.95737590307406,0.0243654631745372
Spain,0.169093670609162,negrecip,ESP,10.3356817805906,-0.169093670609162
Sri Lanka,0.171494867936073,negrecip,LKA,7.82489428939383,-0.171494867936073
Suriname,0.120809162967366,negrecip,SUR,8.93962955677749,-0.120809162967366
Sweden,0.350722060022728,negrecip,SWE,10.8520837820769,-0.350722060022728
Switzerland,0.257805676902615,negrecip,CHE,11.1957573605179,-0.257805676902615
Tanzania,-0.00316001179001883,negrecip,TZA,6.5377094705006,0.00316001179001883
Thailand,0.0484587413413732,negrecip,THA,8.45371423132472,-0.0484587413413732
Turkey,0.123379996007534,negrecip,TUR,9.23887703165831,-0.123379996007534
Uganda,0.156048418954024,negrecip,UGA,6.61112540747215,-0.156048418954024
Ukraine,0.226832109429314,negrecip,UKR,7.98643642485663,-0.226832109429314
United Arab Emirates,0.0927643262620147,negrecip,ARE,10.7359992643429,-0.0927643262620147
United Kingdom,0.457615401358019,negrecip,GBR,10.5936711459176,-0.457615401358019
United States,0.345564932686124,negrecip,USA,10.7891852208812,-0.345564932686124
Venezuela,0.108922149576309,negrecip,VEN,9.49812822025194,-0.108922149576309
Vietnam,0.04826608923498,negrecip,VNM,7.06398624830281,-0.04826608923498
Zimbabwe,0.26547875132375,negrecip,ZWE,6.8769835499244,-0.26547875132375
Afghanistan,0.0425887415163801,posrecip,AFG,6.07601480077745,0.0425887415163801
Algeria,0.116014506811415,posrecip,DZA,8.37734266346542,0.116014506811415
Argentina,0.12174052453641,posrecip,ARG,9.15503477940437,0.12174052453641
Australia,-0.00295063770875833,posrecip,AUS,10.831083350524,-0.00295063770875833
Austria,0.0581773558430843,posrecip,AUT,10.7415607995392,0.0581773558430843
Bangladesh,-0.129620084478478,posrecip,BGD,6.55805694315242,-0.129620084478478
Bolivia,0.0915172811288242,posrecip,BOL,7.51692562881957,0.0915172811288242
Bosnia Herzegovina,0.0807017037241616,posrecip,BIH,8.367686754699,0.0807017037241616
