Country Name,Country Code,Series Name,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
"Micronesia, Fed. Sts.",FSM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2838.34913928664,2758.04443825915,2827.51311591979,2845.54486368506,2818.08747521974,2774.14558159908,2819.93892594743,2885.44567636113,2961.9370189298,2877.27228753759
Moldova,MDA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1776.84322525924,1913.05768519828,2061.54713830899,2166.51459506283,2236.68686548507,2415.74296711919,2273.66666286975,2437.52997842423,2580.84130958529,2565.957672565
Monaco,MCO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,140485.865733672,142465.4152016,143694.466688517,150491.379888968,170534.698335385,169963.631621314,149242.716068066,150725.194124207,159431.473630687,159100.193449311
Mongolia,MNG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1793.25370917456,1961.83840034669,2079.13047522721,2228.41928205623,2423.67120861002,2601.20051595729,2527.95836109812,2643.29291416763,3043.86182588884,3353.09360670119
Montenegro,MNE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5164.10260870429,5383.12029089296,5599.87711295013,6072.03385894614,6476.59747159858,6932.07225426566,6516.35766357443,6682.28115774575,6890.77333865459,6697.44457797724
Morocco,MAR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2235.41867848331,2315.18666207394,2363.44467623096,2512.86241117781,2571.2644401938,2691.26781170261,2771.04675450926,2839.92516805933,2948.84548976845,2995.45235738661
Mozambique,MOZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,347.156695134303,363.78097846502,376.885649896437,401.954448645669,421.179658370669,439.642486440213,454.78167619146,471.181692645893,492.343001559207,513.739087159073
Myanmar,MMR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,471.42543031664,530.791337372722,598.067487858928,671.454940189372,747.11625115708,818.651189440208,899.242644243959,979.051630004942,1025.8922978384,1092.05650932938
Namibia,NAM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4229.2930702425,4676.95565879142,4719.60805829674,4968.84701489108,5144.03064093459,5185.03611206718,5106.29761319136,5318.00693967195,5490.74170535099,5668.57004972299
Nauru,NRU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,3962.90944482387,3984.23487893654,4234.73294080182,3262.14704978491,3967.31668412153,4307.08002334012,4754.0750016078,5202.4433161176,5668.50252739376
